"Checkbox","Prebook Description","Special Order Qty","Item No","Substituted Item","Qty","Order Multiple","Average Sales Last 4 Weeks","On Hold","Promotion Lift %","Wholesale Discount %","Retail Price","Net Wholesale Price","Wholesale Price","Order Line Type","DMIN Default","OSTAT New","NAV Order No","Days Until out of Stock","Days in Stock","Average Sales Last 13 Weeks","Allowed Dmin Change","Life Cycle Status","Line Up Status","Sales Last Week","Forecast for Order Period","4 Week Forecast","Days in Stock Order","Special Order No","Un-Scheduled Order","Web Title","Forecast + Safety Stock","Promotional Demand","Label","Pet Size","Life Stage","Product Type","Merchandise Division","Department","Category","Sub-Category","Undelivered","Constrained","Brand","DMIN New","DMAX New","Order Id","Item Id","Store No","Store","Warehouse No","Order Date","Picking Date","Est. Delivery Date","Warehouse","Extended Net Wholesale Price","Extended Retail Price","Transferred Date","Created","Constrained Recommended Qty","Item Description","UnConstrained Qty","Qty On Hand","Weight","Volume","Pallets","Open sales order quantity","Order Period","Order Exceptions","Days until safety stock on hand","Original Item No","Purchase Units","In Promotion","Additional Lead Time","Cost of Sales Last Week","End of order period","Comment","NBO","Gross Margin %","WOSUnconstrained","WOSconstrained","Wholesale Gross Margin %","Order Qty Last Week","Stock Total"
"","","","1000232","38116","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Manual","210260299","0","0","0","All","LST","REG-1","0","0","0.0009","0","","false","","10","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","82851","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID SP&FSH SMP 4OZ","0","10","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000236","38122","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0099","0","","false","","11","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","85148","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID SL SMP 4oz","0","11","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000240","38120","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.01","0.0227","0","","false","","7","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","87432","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID TURKEY SMP 4oz","0","7","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000244","38114","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Manual","210260299","0","0","0","All","LST","REG-1","0","0","0.0054","0","","false","","0","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","89719","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG LID VEN SMP 4oz","0","0","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000247","38108","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0927","0","","false","","2","0","PRIVATE LABEL","","ALL","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","91407","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF OCN SMP 4oz","0","2","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000250","38111","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0015","0","","false","","6","0","PRIVATE LABEL","","ALL","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","92527","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF PRR SMP 4oz","0","6","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000255","38119","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0","0.0043","0","","false","","3","0","PRIVATE LABEL","","PUPPY","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","95386","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF LGBR PUP SMP4OZ","0","3","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000257","37149","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.01","0.0344","0","","false","","4","0","PRIVATE LABEL","SMALL","ADULT","NATURAL/HOLISTIC","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","96490","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG HWGT SMBT SMP 4oz","0","4","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000261","38112","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0599","0","","false","","3","0","PRIVATE LABEL","","PUPPY","NATURAL/HOLISTIC","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","98741","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG CK&R PUP SMP 4oz","0","3","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
"","","","1000265","38118","0","1","0","","0","","1.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.02","0.0722","0","","false","","2","0","PRIVATE LABEL","","PUPPY","GRAIN-FREE","Dog","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","100988","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT DG GF PUP SMP 4oz","0","2","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","96.6443","",""
